D/N,depth,200 (mg),500 (mg),1000 (mg),2000 (mg),5000 (mg)
Day,1000-750,0.0015,0.0142,0.0561,0.5323,1.0815
Day,750-500,0.0032,0.0075,0.0384,0.1451,0.1939
Day,500-400,0.0014,0.0067,0.0555,0.1252,0.4306
Day,400-300,0.0016,0.0069,0.0404,0.0584,0.2641
Day,300-200,0.0015,0.0091,0.0723,0.2104,0.1885
Day,200-150,0.0016,0.0074,0.0309,0.1184,0.1868
Day,150-100,0.0017,0.0081,0.0243,0.2397,0.0717
Day,100-50,0.0011,0.0021,0.0034,0.0118,0.4692
Day,50-0,0.0015,0.0031,0.0135,0.1075,0.4995
Night,1000-750,0.0013,0.0109,0.0471,0.1298,1.2558
Night,750-500,0.0018,0.0072,0.0384,0.2897,0.4097
Night,500-400,0.0013,0.0056,0.0374,0.1973,0.1358
Night,400-300,0.0014,0.0047,0.0286,0.0771,0.1351
Night,300-200,0.0018,0.0052,0.0123,0.0834,0.4262
Night,200-150,0.0015,0.0053,0.0268,0.0853,0.4215
Night,150-100,0.0014,0.0043,0.0182,0.0816,0.2749
Night,100-50,0.0012,0.0037,0.028,0.1042,0.3633
Night,50-0,0.0014,0.0031,0.0049,0.019,0.1863