"Family","Genera","Species","loga","logase","logamin","logamax","b","bse","bmin","bmax","NoGenus","NoSpecies"
"Alepocephalidae",NA,NA,-11.6581785894849,0.663381716346381,-12.3215603058312,-10.9947968731385,3.03487940534798,0.130041350848684,2.9048380544993,3.16492075619666,1,1
"Gonostomatidae",NA,NA,-11.6195271012647,0.653221833601972,-12.2727489348667,-10.9663052676627,2.99362784269761,0.102381433732225,2.89124640896539,3.09600927642984,1,4
"Melamphaidae",NA,NA,-11.0125746385887,0.859810605106413,-11.8723852436951,-10.1527640334823,2.96556804566415,0.153224231913821,2.81234381375033,3.11879227757797,1,2
"Myctophidae",NA,NA,-11.7397453019547,0.409795781840686,-12.1495410837954,-11.329949520114,3.11035866192204,0.10206865549696,3.00829000642508,3.212427317419,9,11
"Sternoptychidae",NA,NA,-11.0589372655145,0.670324772627654,-11.7292620381422,-10.3886124928869,2.96375051050591,0.115259053092847,2.84849145741306,3.07900956359875,2,6
NA,"Benthosema",NA,-11.7139186546829,0.347858036136316,-12.0617766908192,-11.3660606185466,3.14372048076704,0.0952337043196508,3.04848677644739,3.23895418508669,NA,NA
NA,"Myctophum",NA,-11.7770266018237,0.436644767821317,-12.213671369645,-11.3403818340024,3.15068603921952,0.111105047842077,3.03958099137744,3.2617910870616,NA,NA
NA,"Symbolophorus",NA,-11.53415297518,0.588129863965031,-12.1222828391451,-10.946023111215,3.09305328938533,0.147684203529619,2.94536908585571,3.24073749291495,NA,NA
NA,"Protomyctophum",NA,-11.4141313807796,0.555567646949913,-11.9696990277295,-10.8585637338297,3.08520227814206,0.146399859492677,2.93880241864939,3.23160213763474,NA,NA
NA,"Argyropelecus",NA,-10.090347689105,0.287279482925378,-10.3776271720303,-9.80306820617958,2.86610630562926,0.0872763930864003,2.77882991254286,2.95338269871566,NA,NA
NA,"Cyclothone",NA,-12.075269496899,0.364848434650386,-12.4401179315494,-11.7104210622486,2.98476816242121,0.10046631373488,2.88430184868633,3.08523447615609,NA,NA
NA,"Lampanyctus",NA,-12.5803015121382,0.478698362143566,-13.0589998742818,-12.1016031499947,3.19270897877535,0.123646740795208,3.06906223798014,3.31635571957056,NA,NA
NA,"Xenodermichthys",NA,-11.9573788359036,0.673107800207586,-12.6304866361112,-11.284271035696,3.0573319657592,0.169202301276608,2.88812966448259,3.2265342670358,NA,NA
NA,"Nannobrachium",NA,-12.5740459915609,0.598588982419115,-13.17263497398,-11.9754570091418,3.17618032167935,0.164590863964213,3.01158945771514,3.34077118564357,NA,NA
NA,"Scopelogadus",NA,-10.4781741716255,0.746515358813895,-11.2246895304394,-9.73165881281165,2.89852611212485,0.165389876543655,2.73313623558119,3.0639159886685,NA,NA
NA,"Myctophidae gen",NA,-11.6477092431347,0.543529863605922,-12.1912391067407,-11.1041793795288,3.09936877419697,0.143329734446877,2.9560390397501,3.24269850864385,NA,NA
NA,"Valenciennellus",NA,-11.4024646311143,0.578094122718246,-11.9805587538326,-10.8243705083961,2.99493221000703,0.146673455931992,2.84825875407504,3.14160566593902,NA,NA
NA,"Diaphus",NA,-11.1781599363112,0.668299995143725,-11.8464599314549,-10.5098599411675,3.06958489036857,0.156084768063939,2.91350012230463,3.22566965843251,NA,NA
NA,"Notoscopelus",NA,-11.6427802148688,0.592339612057835,-12.2351198269267,-11.050440602811,3.10263391789752,0.145180310739185,2.95745360715834,3.24781422863671,NA,NA
NA,NA,"Benthosema glaciale",-11.7123502215112,0.31691162927641,-12.0292618507876,-11.3954385922348,3.14574651933074,0.0941683321365467,3.05157818719419,3.23991485146729,NA,NA
NA,NA,"Myctophum punctatum",-11.7792906675688,0.42006581502056,-12.1993564825893,-11.3592248525482,3.15313509099207,0.111479068145106,3.04165602284696,3.26461415913717,NA,NA
NA,NA,"Symbolophorus veranyi",-11.5216675053565,0.582754872856255,-12.1044223782128,-10.9389126325003,3.09200234692079,0.149647572771939,2.94235477414885,3.24164991969272,NA,NA
NA,NA,"Protomyctophum arcticum",-11.3943570883694,0.54573620205185,-11.9400932904212,-10.8486208863175,3.08367454957612,0.148269689813682,2.93540485976243,3.2319442393898,NA,NA
NA,NA,"Argyropelecus olfersii",-10.0065638090415,0.32658547262697,-10.3331492816684,-9.6799783364145,2.85104947479963,0.0962608835142866,2.75478859128535,2.94731035831392,NA,NA
NA,NA,"Argyropelecus hemigymnus",-10.3144389096315,0.252922267682378,-10.5673611773138,-10.0615166419491,2.88703539648562,0.0798534419781297,2.80718195450749,2.96688883846374,NA,NA
NA,NA,"Cyclothone braueri",-11.9927996842377,0.362564113066064,-12.3553637973038,-11.6302355711717,2.97850032003942,0.100479148249717,2.8780211717897,3.07897946828914,NA,NA
NA,NA,"Lampanyctus macdonaldi",-12.591875889509,0.442437393960193,-13.0343132834692,-12.1494384955488,3.19343124745506,0.123572224210263,3.06985902324479,3.31700347166532,NA,NA
NA,NA,"Lampanyctus ater",-12.5755267740542,0.515868619575182,-13.0913953936294,-12.059658154479,3.19260471486353,0.126813227747968,3.06579148711556,3.31941794261149,NA,NA
NA,NA,"Lampanyctus spc",-12.6245482293078,0.513756932241511,-13.1383051615493,-12.1107912970663,3.19709204779344,0.127808075873245,3.0692839719202,3.32490012366669,NA,NA
NA,NA,"Cyclothone spc",-12.0819940477258,0.354233863612804,-12.4362279113386,-11.727760184113,2.98522015634971,0.100192192985124,2.88502796336459,3.08541234933484,NA,NA
NA,NA,"Cyclothone pallida",-12.1085787650084,0.403141926670911,-12.5117206916793,-11.7054368383374,2.98697943430023,0.10548986503319,2.88148956926704,3.09246929933342,NA,NA
NA,NA,"Cyclothone microdon",-12.1453823889659,0.378077488158556,-12.5234598771244,-11.7673049008073,2.98783469717031,0.105375888957304,2.882458808213,3.09321058612761,NA,NA
NA,NA,"Xenodermichthys copei",-11.9755490453976,0.669856770734011,-12.6454058161316,-11.3056922746636,3.05869549313336,0.171208883373007,2.88748660976035,3.22990437650636,NA,NA
NA,NA,"Nannobrachium spc",-12.6247124548829,0.599608897464515,-13.2243213523474,-12.0251035574184,3.18017762235456,0.168759992221402,3.01141763013316,3.34893761457596,NA,NA
NA,NA,"Argyropelecus spc",-10.0342833976497,0.282960716108686,-10.3172441137584,-9.75132268154103,2.86336660902695,0.0893852176720805,2.77398139135486,2.95275182669903,NA,NA
NA,NA,"Scopelogadus spc",-10.5023125492167,0.761861142353172,-11.2641736915699,-9.74045140686352,2.89588639949234,0.16675026585906,2.72913613363328,3.0626366653514,NA,NA
NA,NA,"Scopelogadus beanii",-10.4215820492443,0.744373368848275,-11.1659554180926,-9.67720868039605,2.89709441775863,0.167860715870002,2.72923370188862,3.06495513362863,NA,NA
NA,NA,"Myctophidae spc",-11.6421199614086,0.535358541087221,-12.1774785024958,-11.1067614203214,3.09870136645026,0.144985534610006,2.95371583184025,3.24368690106026,NA,NA
NA,NA,"Argyropelecus lychnus",-10.0575124489668,0.306717890815608,-10.3642303397824,-9.75079455815116,2.86495472938128,0.0913169245120417,2.77363780486924,2.95627165389332,NA,NA
NA,NA,"Valenciennellus tripunctulatus",-11.4233267937448,0.561856251139876,-11.9851830448847,-10.8614705426049,2.99682585153673,0.148102677095461,2.84872317444127,3.14492852863219,NA,NA
NA,NA,"Diaphus subtilis",-11.1440552727468,0.665789011447702,-11.8098442841945,-10.4782662612991,3.06710872940329,0.15866787907593,2.90844085032735,3.22577660847922,NA,NA
NA,NA,"Notoscopelus resplendens",-11.6368915969046,0.589622272188451,-12.2265138690931,-11.0472693247162,3.10216479991085,0.147047144276903,2.95511765563394,3.24921194418775,NA,NA
NA,NA,"Argyropelecus aculeatus",-9.98011815221976,0.358641561205879,-10.3387597134256,-9.62147659101388,2.85819545816791,0.096914465686187,2.76128099248172,2.9551099238541,NA,NA
